,model_num,dataset,model_name,vae_beta,factor_vae_gamma,dip_vae_lambda_d_factor,dip_vae_lambda_od,beta_tc_vae_beta,annealed_vae_c_max,model_random_seed,elbo,kl_loss,loss,reconstruction_loss,regularizer,beta_vae_train_accuracy,beta_vae_eval_accuracy,factor_vae_train_accuracy,factor_vae_eval_accuracy,dci_informativeness_train,dci_informativeness_test,dci_disentanglement,dci_completeness,mig_discrete_mig,sap_score,modularity_score,modularity_explicitness_score_train,modularity_explicitness_score_test
0,0-49,'dsprites_full','beta_vae',1.0,,,,,,0-49,-46.413334274297995,27.746613731390003,46.413334274297995,18.6667173767,27.746613731390003,0.813672,0.815968,0.647346,0.6465599999999999,0.7555696000000001,0.4079032,0.145173617338,0.144534708358,0.07501575499200001,0.04559919999999999,0.816109216638,0.785676695082,0.7746800418680002
1,50-99,'dsprites_full','beta_vae',2.0,,,,,,0-49,-48.632245788572,20.582513656617998,69.21475326537801,28.04972438812,41.165027313234006,0.8149959999999998,0.8172200000000001,0.657822,0.6576879999999999,0.7669772,0.4307408000000001,0.17565294807599996,0.17183147589800002,0.087958597766,0.04644,0.83221584587,0.783515670136,0.7732404994060001
2,100-149,'dsprites_full','beta_vae',4.0,,,,,,0-49,-59.351039505006,14.907237071988,104.07274307251001,44.443799819944005,59.62894828796801,0.799006,0.803044,0.644318,0.644772,0.7752748000000002,0.45324880000000006,0.16548423332800002,0.17812332607000003,0.08978594430200001,0.0427584,0.8230821882720001,0.783923561912,0.774489423176
3,150-199,'dsprites_full','beta_vae',6.0,,,,,,0-49,-70.35111618042201,12.196590423586,131.334070587158,58.15453010559,73.1795262146,0.7965859999999999,0.8008839999999999,0.645416,0.64848,0.7833448000000002,0.4824704000000001,0.186314576652,0.20483056178800002,0.109286689658,0.043274400000000005,0.8197357066240001,0.7845995393340002,0.775619940216
4,200-249,'dsprites_full','beta_vae',8.0,,,,,,0-49,-81.17220947266,10.324566593174,153.44418212891,70.847657623294,82.59653274536,0.80817,0.8115600000000001,0.640266,0.644104,0.7823352000000001,0.49795520000000004,0.21360210351,0.24424201170600005,0.129291342444,0.047865600000000015,0.833236778488,0.7844626249740001,0.7752588041840001
5,250-299,'dsprites_full','beta_vae',16.0,,,,,,0-49,-119.68149780272603,6.553600177762,217.985487365724,113.12789520263999,104.85760284423401,0.8173760000000001,0.8234,0.6504059999999999,0.6450479999999998,0.8406616000000001,0.6311008000000001,0.393466327762,0.45857192819599996,0.26339312460000003,0.05245680000000001,0.797692610342,0.7896235059680001,0.7798811557480001
6,300-349,'dsprites_full','factor_vae',,10.0,,,,,0-49,,19.5782290268,74.28621520996,45.254364471428,29.03184261322,0.836498,0.8380120000000002,0.701794,0.7023600000000001,0.754844,0.43898880000000007,0.24582793705600003,0.269867510186,0.14390786673400002,0.0678016,0.8130530287800001,0.774145088864,0.76290832543
7,350-399,'dsprites_full','factor_vae',,20.0,,,,,0-49,,18.573409118656,78.199075775146,51.14233085632,27.056742172238,0.8492060000000002,0.849456,0.724808,0.7250160000000001,0.7553924000000001,0.44578480000000004,0.25256936708399996,0.277947171852,0.160049473706,0.068328,0.804521379314,0.77267056183,0.76148083761
8,400-449,'dsprites_full','factor_vae',,30.0,,,,,0-49,,18.260888404846003,78.71542694092001,52.306957015998016,26.408466567986,0.8450920000000001,0.846312,0.7268740000000001,0.7266320000000001,0.7577168000000001,0.45338800000000007,0.26109123077600005,0.28335118686599997,0.168543445186,0.06718640000000001,0.7955326558679999,0.7714221618660001,0.7603366985
9,450-499,'dsprites_full','factor_vae',,40.0,,,,,0-49,,18.017136878966,78.573942413328,53.304801864624,25.269144287106002,0.836356,0.8383240000000001,0.72775,0.7262120000000002,0.7544576000000002,0.4490240000000001,0.255841429318,0.27834849573400006,0.164636935668,0.062428800000000007,0.805810187356,0.7682480124940001,0.757333717244
10,500-549,'dsprites_full','factor_vae',,50.0,,,,,0-49,,17.894942398064003,77.737416076662,54.25519020081001,23.482231178288004,0.8469120000000001,0.8480679999999999,0.752548,0.7527560000000001,0.7542332000000002,0.4471208000000001,0.263918179734,0.28451410810200006,0.17391947081800002,0.0656264,0.80561908005,0.771501600628,0.76093926614
